Title,Price,Location,Date
Ryds tumlaren,38 000 kr,Övertorneå,28 juni
"Fin HT 5,75m med 75hk Mercury",39 000 kr,Kalix,10 juli
"Örnvik 481 ST, 1 ägare 1987",39 000 kr,Piteå,13 juni
Aluminiumbåt Linder Fishing 440,39 000 kr,Piteå,9 juni
Aluminiumbåt Mariner 15S,40 000 kr,Luleå,28 juli
Arbetsbåt,40 000 kr,Luleå,28 juli
Flipper 510 HT,40 000 kr,Piteå,21 juli
Trolling båt,40 000 kr,Arjeplog,19 juli
personbåt 640,40 000 kr,Luleå,15 juli
Uttern 520,40 000 kr,Piteå,14 juli
Laxen 510 mycket bra skick,40 000 kr,Luleå,3 juli
Wrangler23dc,40 000 kr,Luleå,21 juni
"Perssons båt 460 - Suzuki 4-takt, 15 hk",40 000 kr,Jokkmokk,12 juni
Marieholm,40 000 kr,Piteå,2 juni
Daycruiser 22 Diesel,41 000 kr,Kalix,13 juli
Jerry,42 000 kr,Luleå,29 juli
"Nidelv 18 Daycruiser, uppdaterad: motor Fixad!",42 000 kr,Luleå,25 juli
Ryds Camping,42 000 kr,Piteå,22 juli
Flipper 570 + Yamaha 80hk,45 000 kr,Kalix,29 juli
forsbåt  yamaha f25,45 000 kr,Kiruna,28 juli
Båt Alpha 24,45 000 kr,Luleå,27 juli
"Sandström 425 basic 9,9 Mercury",45 000 kr,Kalix,4 juni
Flipper 570,46 000 kr,Luleå,17 juli
Flipper 575 med 70hk Yamaha,49 000 kr,Luleå,30 juli
Flipper 575 HT,49 000 kr,Luleå,1 juli
Utter 5200 DC,49 000 kr,Arvidsjaur,28 juni
uttern 5001,50 000 kr,Gällivare,25 juli
Marieholm 24,50 000 kr,Piteå,5 juli
Marex 21 Snipa,50 000 kr,Haparanda,4 juli
Marex 23 DC,50 000 kr,Luleå,16 juni
"Sandström 495 rorkult, Yamaha 30hk 2t, Tiki BS600-R",50 000 kr,Arjeplog,12 juni
Larson 19AA DC-90,51 000 kr,Luleå,15 juli
Pioner 12 maxi,52 000 kr,Kalix,21 juni
Flipper 470,52 000 kr,Luleå,20 juni
Båtpaket aluminiumbåt,52 000 kr,Boden,12 juni
Micore 490 GT,53 000 kr,Luleå,11 juli
"Marino 400, 25 hk Mercury års 2022",53 000 kr,Kalix,4 juni
Flipper 620,55 000 kr,Kalix,25 juli
Ryds 495 GT,55 000 kr,Piteå,25 juli
Uttern 5103 (ev. byte),55 000 kr,Piteå,23 juli
Nimo 22 mid cabin V8,55 000 kr,Haparanda,22 juli
RANA 22,55 000 kr,Kalix,15 juli
Flipper570Ht,55 000 kr,Kalix,22 juni
Flipper 700,58 600 kr,Boden,15 juli
ryds 480 rsi,59 000 kr,Piteå,23 juli
Tullio Abbate sea star,59 000 kr,Luleå,25 juni
Flipper 700,60 000 kr,Luleå,27 juli
Linder Sportsman 400. Honda 15 hk. Båtvagn.,60 000 kr,Piteå,23 juli
Stor säivis,60 000 kr,Haparanda,15 juli
Joda 24 Tour,60 000 kr,Kalix,31 maj
Smuggler 18 cabin,63 000 kr,Kiruna,16 juli
"Albin 25 -73, motor bytt 2022",64 000 kr,Kalix,30 juni
Buster XS,65 000 kr,Kalix,20 juli
Coronet 24 midi,65 000 kr,Kalix,11 juli
uttern 455C,65 000 kr,Luleå,27 juni
Norrbåt Yamaha 50 4-takt,67 000 kr,Boden,27 juli
Uttern,68 000 kr,Piteå,16 juli
Aluminiumbåt  60hk med trailer  Ev byte,69 000 kr,Luleå,28 juli
Fisherman 20 Suzuki 50 4takt,69 000 kr,Piteå,23 juli
bayliner 2655 ciera sunbridge,70 000 kr,Luleå,27 juli
Yamarin Big Ride 4700,70 000 kr,Kalix,22 juli
sandström495,70 000 kr,Kiruna,18 juli
Flipper 570 HT,70 000 kr,Jokkmokk,17 juni
Galaxy Weekender 2100 - Sommarens räddning,71 000 kr,Luleå,17 juli
Albin 25 DL,75 000 kr,Piteå,29 juli
Windy 22 HC,75 000 kr,Piteå,12 juli
Uttern 560 Yamaha 50hk,75 000 kr,Kiruna,10 juni
Bella 510R,76 000 kr,Piteå,13 juli
Bella 512 Europa,78 000 kr,Piteå,14 juli
Flipper 620,79 000 kr,Piteå,28 juli
Flipper 620,79 000 kr,Piteå,21 juli
Flipper 700 -85,79 000 kr,Piteå,20 juli
Bella 512 Europa,79 000 kr,Haparanda,4 juli
Albin 25 Deluxe Nr: 2103,79 000 kr,Luleå,30 juni
Marieholm 24 med en fin inombordare säljes.,80 000 kr,Piteå,I onsdags
Aluminiumbåt,80 000 kr,Piteå,23 juli
Bayliner 1700 Bowrider Capri,80 000 kr,Haparanda,20 juli
Ryds tumlare med Suzuki 50hk -21,82 000 kr,Arvidsjaur,24 juni
sandström 460 styrpulpet med motortilt,84 500 kr,Kiruna,4 juni
Flipper 535 GT (60hk / 4takt) med vagn,85 000 kr,Pajala,16 juli
Nimbus 26,85 000 kr,Luleå,10 juli
KMW 2000 Dromedille DC,85 000 kr,Piteå,7 juli
Flipper 700,88 000 kr,Kalix,29 juli
Hr 460 fishing,89 000 kr,Luleå,29 juli
Nimbus 26,89 000 kr,Luleå,27 juli
Person båt 520,90 000 kr,Arvidsjaur,28 juli
Flipper 700,90 000 kr,Haparanda,14 juli
Scanner 660,90 000 kr,Luleå,9 juli
Linder Sportsman 445 Max med Mercury 30hk ELPT,90 000 kr,Kalix,4 juli
Bella 571c,90 000 kr,Kalix,30 juni
jetbåt,90 000 kr,Luleå,21 juni
Starcraft 22,90 000 kr,Kalix,10 juni
Renken 2352 daycruiser.  Tillfälle allt klart,93 000 kr,Luleå,18 juli
Bayliner 2455 89,94 000 kr,Piteå,9 juni
Maxum 1900 sc2 -01,95 000 kr,Boden,30 juli
Nimo 23 med bogpropeller,95 000 kr,Piteå,29 juli
Baskeribåt 6m,95 000 kr,Kalix,28 juli
Flipper 515 HT,95 000 kr,Luleå,25 juli
Vattenskoter bytes mot båt eller något annat kul,95 000 kr,Kalix,21 juli
Ockelbo DC21 med modern drivlina,95 000 kr,Piteå,8 juli
Fjordling 17,95 000 kr,Arjeplog,14 juni
Linder Sportsman 445 max 2011,98 000 kr,Gällivare,22 juli
Larsson båt daycruiser,98 000 kr,Gällivare,14 juli
Flipper 700 190hästar,99 000 kr,Luleå,25 juli
Uttern 5500HT,99 000 kr,Luleå,18 juli
Askeladden 515 Invader,100 000 kr,Arvidsjaur,25 juli
Bella 640 ht tohatsu 115hk med trailer,100 000 kr,Luleå,6 juli
Uttern S52 Exclusive,100 000 kr,Luleå,28 juni
Four winns 205,100 000 kr,Haparanda,4 juni
Norrbåt,104 000 kr,Kalix,30 juli
yamarin 4730 big ride,107 000 kr,Kalix,7 juni
Bella 570C,109 000 kr,Luleå,7 juli
"Yamarin 500 HT Big game -88, Yamaha 60 -11",109 000 kr,Piteå,21 juni
crownline 225 ccr 454mag,110 000 kr,Piteå,18 juli
Uttern 7000,110 000 kr,Haparanda,17 juli
Bayliner 175BR 2007,112 000 kr,Älvsbyn,22 juli
Uttern s52 Exclusive ink 80km/h trailer,114 900 kr,Piteå,12 juni
Sea Ray 230 Signature -96,115 000 kr,Piteå,21 juli
Fjord 630 sp,115 000 kr,Piteå,18 juni
Nordanvind 600,115 000 kr,Piteå,17 juni
Fritidsbåt,117 000 kr,Haparanda,12 juni
Ideal 525 SS 90 HK -08,119 000 kr,Piteå,26 juli
Nimbus 26,119 000 kr,Luleå,16 juni
NIMBUS 800 TURBO,119 999 kr,Luleå,29 juli
silver Beaver 450,120 000 kr,Piteå,23 juli
Buster SCC - Yamaha F30 BETL - Fogelsta båtvagn,120 000 kr,Luleå,19 juli
Uttern D51 Crossmax -04,120 000 kr,Piteå,27 juni
